Mon May  9 16:53:45 2022    output.dat

         39877722 function calls (38825456 primitive calls) in 20.821 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
10972098/10972049    0.533    0.000    0.533    0.000 {built-in method builtins.len}
  1584716    0.129    0.000    0.129    0.000 {method 'items' of 'dict' objects}
  1567398    0.103    0.000    0.103    0.000 {built-in method builtins.issubclass}
1566720/522240    2.486    0.000    4.583    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:751(recurser)
1050276/1048343    0.333    0.000    3.629    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1045568    1.436    0.000    1.436    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1045088    0.310    0.000    0.310    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
  1045088    0.818    0.000    2.645    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
  1044803    0.228    0.000    0.228    0.000 {built-in method builtins.max}
  1044480    0.563    0.000    0.740    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:701(_extendLine)
  1044480    0.511    0.000    1.420    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:715(_extendLine_pretty)
  1044480    0.341    0.000    0.341    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:1193(__call__)
  1044480    0.115    0.000    0.115    0.000 {method 'splitlines' of 'str' objects}
   528420    0.052    0.000    0.052    0.000 {built-in method builtins.id}
   525145    0.050    0.000    0.050    0.000 {built-in method numpy.asarray}
   522774    0.098    0.000    0.098    0.000 {method 'update' of 'dict' objects}
   522464    0.044    0.000    0.044    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:2633(_amax_dispatcher)
   522464    0.327    0.000    1.805    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:2638(amax)
   522464    0.219    0.000    2.244    0.000 <__array_function__ internals>:2(amax)
   522460    0.043    0.000    0.043    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:2758(_amin_dispatcher)
   522460    0.316    0.000    1.483    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:2763(amin)
   522460    0.200    0.000    1.877    0.000 <__array_function__ internals>:2(amin)
   522406    0.059    0.000    0.059    0.000 {method 'rstrip' of 'str' objects}
   522368    0.050    0.000    0.050    0.000 {built-in method _thread.get_ident}
   522273    0.230    0.000    0.230    0.000 {method 'format' of 'str' objects}
   522245    0.415    0.000    0.415    0.000 {built-in method builtins.locals}
   522244    0.075    0.000    0.075    0.000 {method 'copy' of 'dict' objects}
   522244    0.047    0.000    0.047    0.000 {method 'add' of 'set' objects}
   522243    0.060    0.000    0.060    0.000 {method 'discard' of 'set' objects}
   522240    0.259    0.000    0.259    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:66(<dictcomp>)
   522240    0.558    0.000    1.277    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:61(_make_options_dict)
   522240    0.232    0.000    6.240    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:374(<lambda>)
   522240    0.568    0.000    0.568    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:367(_get_formatdict)
   522240    0.994    0.000    7.905    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:416(_get_format_function)
   522240    0.654    0.000   14.973    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:468(wrapper)
   522240    1.233    0.000   14.109    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:485(_array2string)
   522240    0.816    0.000   17.270    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:523(array2string)
   522240    0.312    0.000    4.895    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:742(_formatArray)
   522240    1.464    0.000    6.007    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:1185(__init__)
   522240    0.312    0.000   17.582    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:1534(_array_str_implementation)
   191430    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
    46166    0.049    0.000    0.049    0.000 {built-in method numpy.zeros}
    46080    0.305    0.000    0.305    0.000 c:\Users\simon\Documents\Phd\SPH\wcsph_solver_numpy_numba\particle_system.py:46(is_valid_cell)
    26176    0.003    0.000    0.005    0.000 {built-in method builtins.isinstance}
    18830    0.005    0.000    0.007    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\__init__.py:653(__getitem__)
    18830    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x000001D33A426AF0}
    16220    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:832(get_animated)
16196/13786    0.006    0.000    0.010    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:290(stale)
    13303    0.002    0.000    0.004    0.000 {built-in method builtins.getattr}
    10395    0.010    0.000    0.010    0.000 {method 'astype' of 'numpy.ndarray' objects}
    10240    0.024    0.000    0.034    0.000 c:\Users\simon\Documents\Phd\SPH\wcsph_solver_numpy_numba\particle_system.py:41(pos_to_index)
     9288    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     6292    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:266(axes)
     4666    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     4434    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:107(__init__)
     4114    0.002    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\_api\__init__.py:101(check_in_list)
     3628    0.003    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\cbook\__init__.py:276(process)
     3604    0.001    0.000    0.004    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:405(pchanged)
3400/3168    0.001    0.000    0.008    0.000 {built-in method builtins.next}
     3156    0.003    0.000    0.004    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\cbook\__init__.py:2014(_setattr_cm)
     2954    0.000    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\abc.py:96(__instancecheck__)
     2954    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     2806    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     2745    0.000    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:222(<lambda>)
     2660    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     2538    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
     2364    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     2338    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
     2224    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:1783(__init__)
     2063    0.002    0.000    0.002    0.000 {built-in method numpy.array}
     1904    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
     1844    0.003    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:207(set_children)
     1774    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     1762    0.000    0.000    0.000    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\multiarray.py:148(concatenate)
     1762    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(concatenate)
     1662    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\contextlib.py:82(__init__)
1662/1604    0.001    0.000    0.006    0.000 C:\Users\simon\anaconda3\envs\numba\lib\contextlib.py:108(__enter__)
1662/1604    0.001    0.000    0.004    0.000 C:\Users\simon\anaconda3\envs\numba\lib\contextlib.py:117(__exit__)
     1662    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\contextlib.py:238(helper)
     1640    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\enum.py:313(__call__)
     1640    0.000    0.000    0.000    0.000 C:\Users\simon\anaconda3\envs\numba\lib\enum.py:631(__new__)
     1556    0.002    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\cbook\__init__.py:1730(<dictcomp>)
     1556    0.005    0.000    0.008    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\cbook\__init__.py:1691(normalize_kwargs)
1552/1290    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
     1536    0.000    0.000    0.000    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\lib\function_base.py:4758(_append_dispatcher)
     1536    0.001    0.000    0.003    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\lib\function_base.py:4762(append)
     1536    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(append)
     1508    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
