Mon May  9 16:53:45 2022    Output.dat

         39877722 function calls (38825456 primitive calls) in 20.821 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    2.548    0.127   20.175    1.009 c:\Users\simon\Documents\Phd\SPH\wcsph_solver_numpy_numba\particle_system.py:68(search_neighbors)
1566720/522240    2.486    0.000    4.583    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:751(recurser)
   522240    1.464    0.000    6.007    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:1185(__init__)
  1045568    1.436    0.000    1.436    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   522240    1.233    0.000   14.109    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:485(_array2string)
   522240    0.994    0.000    7.905    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:416(_get_format_function)
  1045088    0.818    0.000    2.645    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
   522240    0.816    0.000   17.270    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:523(array2string)
   522240    0.654    0.000   14.973    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:468(wrapper)
   522240    0.568    0.000    0.568    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:367(_get_formatdict)
  1044480    0.563    0.000    0.740    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:701(_extendLine)
   522240    0.558    0.000    1.277    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:61(_make_options_dict)
10972098/10972049    0.533    0.000    0.533    0.000 {built-in method builtins.len}
  1044480    0.511    0.000    1.420    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\numpy\core\arrayprint.py:715(_extendLine_pretty)
   522245    0.415    0.000    0.415    0.000 {built-in method builtins.locals}
